"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Rookie","6553","Hugo","Gonzalez","Hugo Gonzalez","BOS","https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=7","/betting/nba/player/hugo-gonzalez-odds-6553","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-11-15
"Rookie","6567","Ryan","Kalkbrenner","Ryan Kalkbrenner","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=7","/betting/nba/player/ryan-kalkbrenner-odds-6567","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"15000","0.0",150,"42.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","25000","0.0",250,NA,"5,000.00",2025-11-15
"Rookie","6542","Khaman","Maluach","Khaman Maluach","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=7","/betting/nba/player/khaman-maluach-odds-6542","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-11-15
"Rookie","6585","Collin","Murray-Boyles","Collin Murray-Boyles","TOR","https://content.rotowire.com/images/teamlogo/basketball/100TOR.png?v=7","/betting/nba/player/collin-murray-boyles-odds-6585","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","25000","0.0",250,NA,"5,000.00",2025-11-15
"Rookie","6561","Asa","Newell","Asa Newell","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/asa-newell-odds-6561","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-11-15
"Rookie","6625","Will","Richard","Will Richard","GSW","https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=7","/betting/nba/player/will-richard-odds-6625","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"20000","0.0",200,"31.9","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","25000","0.0",250,NA,"5,000.00",2025-11-15
"Rookie","6545","Jase","Richardson","Jase Richardson","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=7","/betting/nba/player/jase-richardson-odds-6545","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-11-15
"Rookie","6588","Will","Riley","Will Riley","WAS","https://content.rotowire.com/images/teamlogo/basketball/100WAS.png?v=7","/betting/nba/player/will-riley-odds-6588","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-11-15
"Rookie","6563","Ben","Saraf","Ben Saraf","BKN","https://content.rotowire.com/images/teamlogo/basketball/100BKN.png?v=7","/betting/nba/player/ben-saraf-odds-6563","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-11-15
"Rookie","6581","Javon","Small","Javon Small","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=7","/betting/nba/player/javon-small-odds-6581","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-11-15
"Rookie","6575","Walter","Clayton","Walter Clayton","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7","/betting/nba/player/walter-clayton-odds-6575","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"25000","0.0",250,"25.6","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2025-11-15
"Rookie","6547","Nique","Clifford","Nique Clifford","SAC","https://content.rotowire.com/images/teamlogo/basketball/100SAC.png?v=7","/betting/nba/player/nique-clifford-odds-6547","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2025-11-15
"Rookie","6559","Egor","Demin","Egor Demin","BKN","https://content.rotowire.com/images/teamlogo/basketball/100BKN.png?v=7","/betting/nba/player/egor-demin-odds-6559","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"45000","0.0",450,"0.2","9,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2025-11-15
"Rookie","6617","Yang","Hansen","Yang Hansen","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=7","/betting/nba/player/yang-hansen-odds-6617",NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","50000","0.0",500,NA,"10,000.00",2025-11-15
"Rookie","6557","Kasparas","Jakucionis","Kasparas Jakucionis","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=7","/betting/nba/player/kasparas-jakucionis-odds-6557","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2025-11-15
"Rookie","6582","Sion","James","Sion James","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=7","/betting/nba/player/sion-james-odds-6582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2025-11-15
"Rookie","6589","Liam","McNeeley","Liam McNeeley","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=7","/betting/nba/player/liam-mcneeley-odds-6589","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","50000","0.0",500,NA,"10,000.00",2025-11-15
